epoch,train_loss,train_acc,val_binary_acc,val_one_shot_acc,learning_rate,is_best,elapsed_time
1,1.401475,0.650167,0.480800,0.012500,0.00069495,1,57.58
2,0.193696,0.747567,0.719300,0.128125,0.00194586,1,58.22
3,0.180753,0.743733,0.650400,0.150000,0.00319677,1,58.01
4,0.282069,0.711333,0.625300,0.187500,0.00444768,1,58.32
5,0.256897,0.727933,0.668900,0.184375,0.00569859,0,58.05
6,0.210241,0.746133,0.698400,0.218750,0.00567010,1,57.79
7,0.177701,0.765467,0.703600,0.250000,0.00564175,1,57.80
8,0.150552,0.785467,0.678000,0.212500,0.00561354,0,58.08
9,0.140677,0.798800,0.631500,0.131250,0.00558547,0,58.20
10,0.119192,0.824800,0.773000,0.287500,0.00555754,1,58.29
11,0.122502,0.830700,0.658700,0.103125,0.00552975,0,58.23
12,0.103293,0.852133,0.811400,0.275000,0.00550211,0,58.51
13,0.097708,0.857367,0.781500,0.343750,0.00547460,1,58.30
14,0.099970,0.859867,0.535900,0.184375,0.00544722,0,59.09
15,0.095693,0.863900,0.795200,0.390625,0.00541999,1,58.61
16,0.084097,0.879967,0.522400,0.146875,0.00539289,0,60.72
17,0.079528,0.883700,0.827800,0.443750,0.00536592,1,59.31
18,0.082312,0.885667,0.771500,0.390625,0.00533909,0,57.80
19,0.067478,0.900667,0.860600,0.468750,0.00531240,1,58.25
20,0.066713,0.901900,0.809100,0.400000,0.00528583,0,58.83
21,0.064831,0.906333,0.823500,0.384375,0.00525941,0,58.38
22,0.067363,0.905467,0.613400,0.256250,0.00523311,0,58.13
23,0.059804,0.914900,0.765100,0.403125,0.00520694,0,57.56
24,0.062341,0.911067,0.645100,0.203125,0.00518091,0,57.80
25,0.056476,0.918633,0.657100,0.387500,0.00515500,0,57.66
26,0.054233,0.922700,0.620600,0.362500,0.00512923,0,58.99
27,0.051015,0.927267,0.737600,0.368750,0.00510358,0,56.79
28,0.051606,0.927033,0.825200,0.515625,0.00507806,1,57.61
29,0.045257,0.935433,0.852700,0.487500,0.00505267,0,59.15
30,0.044664,0.937367,0.854400,0.562500,0.00502741,1,58.67
31,0.041500,0.941233,0.890000,0.503125,0.00500227,0,57.99
32,0.039701,0.945200,0.880300,0.518750,0.00497726,0,58.81
33,0.040820,0.941933,0.540900,0.312500,0.00495238,0,58.06
34,0.040232,0.944333,0.613900,0.403125,0.00492761,0,58.35
