epoch,train_loss,train_acc,val_acc,lr
1,7.129542,0.0031,0.0029,0.001000
2,6.077006,0.0180,0.0023,0.000995
3,5.409324,0.0393,0.0066,0.000990
4,4.952487,0.0641,0.0337,0.000985
5,4.533891,0.0901,0.1773,0.000980
6,4.249730,0.1143,0.2894,0.000975
7,4.004116,0.1398,0.1379,0.000970
8,3.792476,0.1649,0.1813,0.000966
9,3.618760,0.1869,0.0089,0.000961
10,3.455687,0.2046,0.1528,0.000956
11,3.308501,0.2260,0.1417,0.000951
12,3.174479,0.2448,0.3634,0.000946
13,3.077089,0.2565,0.3458,0.000942
14,2.944246,0.2819,0.3946,0.000937
15,2.851377,0.2924,0.4336,0.000932
16,2.720398,0.3195,0.4596,0.000928
17,2.668610,0.3281,0.5208,0.000923
18,2.563175,0.3414,0.5642,0.000918
19,2.482030,0.3584,0.3541,0.000914
20,2.414697,0.3705,0.5923,0.000909
21,2.335516,0.3854,0.4244,0.000905
22,2.275594,0.3986,0.5689,0.000900
23,2.191138,0.4105,0.6246,0.000896
24,2.107385,0.4327,0.6171,0.000891
25,2.050669,0.4407,0.6372,0.000887
26,1.993772,0.4556,0.6707,0.000882
27,1.936880,0.4630,0.6006,0.000878
28,1.856950,0.4820,0.6739,0.000873
29,1.791813,0.5002,0.6508,0.000869
30,1.743549,0.5098,0.6483,0.000865
31,1.670799,0.5255,0.6858,0.000860
32,1.628114,0.5362,0.6781,0.000856
33,1.539388,0.5549,0.6815,0.000852
34,1.502259,0.5683,0.7053,0.000848
35,1.456701,0.5796,0.6614,0.000843
36,1.369467,0.6003,0.6804,0.000839
37,1.313648,0.6146,0.6867,0.000835
38,1.261125,0.6276,0.6970,0.000831
39,1.225572,0.6363,0.7203,0.000827
40,1.161925,0.6555,0.7394,0.000822
41,1.106829,0.6674,0.7280,0.000818
42,1.037569,0.6854,0.7334,0.000814
43,1.045374,0.6810,0.7275,0.000810
44,0.980433,0.7022,0.7210,0.000806
45,0.960963,0.7066,0.7425,0.000802
46,0.937938,0.7130,0.7388,0.000798
47,0.879968,0.7267,0.7458,0.000794
48,0.889948,0.7274,0.7270,0.000790
49,0.848109,0.7367,0.7549,0.000786
50,0.815050,0.7492,0.7515,0.000782
51,0.785239,0.7568,0.6935,0.000778
52,0.762943,0.7645,0.7559,0.000774
53,0.743038,0.7659,0.7574,0.000771
54,0.730963,0.7731,0.7605,0.000767
55,0.702817,0.7787,0.7307,0.000763
56,0.678276,0.7870,0.7625,0.000759
57,0.644378,0.7983,0.7492,0.000755
58,0.655342,0.7940,0.7791,0.000751
59,0.624775,0.8001,0.7731,0.000748
60,0.631844,0.8014,0.7586,0.000744
61,0.596057,0.8147,0.7768,0.000740
62,0.559697,0.8242,0.7420,0.000737
63,0.560750,0.8227,0.7596,0.000733
64,0.533860,0.8299,0.7770,0.000729
65,0.521577,0.8337,0.7522,0.000726
66,0.512262,0.8406,0.7716,0.000722
67,0.488771,0.8439,0.7622,0.000718
68,0.474461,0.8519,0.7608,0.000715
69,0.470009,0.8481,0.7682,0.000711
70,0.475373,0.8513,0.7708,0.000708
71,0.448108,0.8594,0.7757,0.000704
72,0.431543,0.8652,0.7700,0.000701
73,0.419667,0.8677,0.7673,0.000697
74,0.407432,0.8697,0.7746,0.000694
75,0.409188,0.8708,0.7569,0.000690
76,0.395127,0.8759,0.7785,0.000687
77,0.384116,0.8787,0.7648,0.000683
78,0.368099,0.8841,0.7737,0.000680
